评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7256370593455473469,600w了,,40582,2023-07-16 19:04:03,用户8099699019237,https://www.douyin.com/user/MS4wLjABAAAAUo9cp-0EV-npEzRJaTSyTG9-ti-pwYNGLKMtBXjmQjd98vEDD8FJt0CyR_DS7AVe,20645910624,,7254263026702091040,7254263026702091040,
7256370863196013375,感谢支持,,24612,2023-07-16 19:05:08,山白,https://www.douyin.com/user/MS4wLjABAAAA3PP9a3_6etLPCsan0Nx6hqZGLl512dQCeUE4v_GZJsdrYIvOVZcd0pIsQIkvDP9O,shanbai2023,,7254263026702091040,7256370593455473469,用户8099699019237
7256371048344830757,工匠精神👍,,6666,2023-07-16 19:05:50,全智甜,https://www.douyin.com/user/MS4wLjABAAAA-7TT4AIK139FG1cmVDtTkihJ-V0oPeJB5P2Z6r31_No,,,7254263026702091040,7256370863196013375,山白
7256376022986326839,喜欢[大笑][大笑][大笑],,73,2023-07-16 19:25:09,陳 平 安,https://www.douyin.com/user/MS4wLjABAAAAWZPaBPo9JDaYxZUQEeJxNcHOHrZzmuoE6Jiuk_U1R3-yRgpvbTnKJGfIbRfG6pQS,37640901053,,7254263026702091040,7256370863196013375,山白
7256380656442786615,将这种手艺发扬光大真的太酷了[大笑],,133,2023-07-16 19:43:09,夜的第七章.,https://www.douyin.com/user/MS4wLjABAAAAKO50xFagdNWby-EB4gR-sCAMaJFRNjvOeNRgjTLykuw,1374890344st,,7254263026702091040,7256370863196013375,山白
7258106823566787365,713.3万点赞了[赞][赞][赞],,128,2023-07-21 11:21:34,客家小辉,https://www.douyin.com/user/MS4wLjABAAAAfsHhZzFVQyl0qKcr7OwnlUP3wZ1lSFXOzwW3UzGIyIXGO3UtcrXXbhI9YJAIj0mE,A352220659,,7254263026702091040,7256370593455473469,用户8099699019237
7260869467973124918,我要生籽籽，痒的莫法，还要肿[捂脸][捂脸],,40,2023-07-28 22:02:00,请叫我女王陛下！,https://www.douyin.com/user/MS4wLjABAAAARX8k35ReVex3doaTfX5BqsjT6_sCrVz_udVYXOJBLhE,Zhou7.25_,,7254263026702091040,7256370863196013375,山白
7313079190185034547,快节奏的生活需要你[蜜蜂狗][玫瑰],,11,2023-12-16 14:42:19,@张怀民,https://www.douyin.com/user/MS4wLjABAAAA0DC-2Og2hd1KxI7Tm0w3g2-h5BxOhN9O8YUCgFMSttU,,,7254263026702091040,7256370863196013375,山白
7254479862546039608,102.8万了,,27724,2023-07-11 16:47:05,左耳,https://www.douyin.com/user/MS4wLjABAAAAWL16UCv8nTKqS_eemV1PRUPkTtDaHujN6C3_9sOF_qriluEAk3osgAbL0eUBx9-N,qaqUsagi,,7254263026702091040,7254263026702091040,
7254584645042897675,206了[奸笑],,23,2023-07-11 23:33:43,荷芯,https://www.douyin.com/user/MS4wLjABAAAACk6d796WnSIrDm804epbznPS8j8b01Pm7jaw7kUUPq0,yigewuyouwul75,,7254263026702091040,7254479862546039608,左耳
7254932520482177848,3o8w了[送心],,17,2023-07-12 22:03:34,用户9524073792769,https://www.douyin.com/user/MS4wLjABAAAAI4DaDA_nCLqFgtvA7QKoRwG-QGfceyR5BWdJX7yMtBI,35031784695,,7254263026702091040,7254479862546039608,左耳
7393764256136954635,1086.6W了。,,65,2024-07-21 01:01:39,造型师  💰钱小姐（2025努力版）,https://www.douyin.com/user/MS4wLjABAAAAkO2oBnqN4UY2qMjfPcnlhtr3pKVRTjF7P15bfBO4Xnt6tPLj8l6RVAIye8aO4eez,Dou20210112,,7254263026702091040,7254263026702091040,
7376626068083704576,我也不知道多久之前收藏的，翻收藏翻到了，一千多万了[眼含热泪],,44,2024-06-04 20:36:38,聆鹤语,https://www.douyin.com/user/MS4wLjABAAAA_k2QWBoG1jJs652TYnhdjKraWFgzyqvxhhhd-Set23OYD1A1W6TWOCAkUvav3E87,a330224hyhy,,7254263026702091040,7254263026702091040,
7373256160226722597,这个视频千万了，去年到现在还在推。,,31,2024-05-26 18:39:41,🎵Mix,https://www.douyin.com/user/MS4wLjABAAAA_9Zzh3DOo9lXUApLCPgRS6R44k7wFxTZiR5fwFRg23g,,,7254263026702091040,7254263026702091040,
7351644138636395283,这视频居然有一年了，现在1千多万了,,44,2024-03-29 12:54:01,虫虫特工队,https://www.douyin.com/user/MS4wLjABAAAA5QRJeXXBnvYE5grgxwC_HCJlAwg99NiXkFIRp0vu678,,,7254263026702091040,7254263026702091040,
7350937779666715419,1065万了,,65,2024-03-27 15:13:00,陈州 （陈州传媒授权）,https://www.douyin.com/user/MS4wLjABAAAAmltYkvbVPWl7YQ4BK9SCNnMgCNaOjrzK59c18VlXE1Y,79053143116,,7254263026702091040,7254263026702091040,
7333209906093310760,你的评论都46万，你看的太早了兄弟,,4,2024-02-08 20:39:46,张北海,https://www.douyin.com/user/MS4wLjABAAAAugAI_N1_GGj_eexlx_RfYWGYbLwH0gZv2Nu2IrwzbM8,,,7254263026702091040,7254263026702091040,
7314288699977532170,1032.7万点赞量，是我见到的所有平台最高的点赞量,,147,2023-12-19 20:55:50,梦辞,https://www.douyin.com/user/MS4wLjABAAAAPJlTGosCiQri2q4yvbTCnJTr35Eo6vv1Vs4Rfrk5aU5JeC75K3vrYY9BWBGKXM9h,96732986911,,7254263026702091040,7254263026702091040,
7333025372860744488,你去看看济公的段子，点赞率有多高,,2,2024-02-08 08:43:44,俩伟,https://www.douyin.com/user/MS4wLjABAAAAVULQDcQQHXwVS1PUQeHZaIZubnZYC66dI5FD-j8zqyY,L176127152,,7254263026702091040,7314288699977532170,梦辞
7330502356956005155,一千多万了感觉都不值，还应该更多[流泪],,26,2024-02-01 13:33:07,@我,https://www.douyin.com/user/MS4wLjABAAAA8fKz-oPP313YNrAc4JSDyRClWceZ6mqEF-CYHIdA6yThPum01m6fFrl459JViiMy,89967627341,,7254263026702091040,7254263026702091040,
7313185588349649698,不好意思云南网速慢，今天才刷到,,10,2023-12-16 21:35:11,乐悠劉ʕ ᵔᴥᵔ ʔ,https://www.douyin.com/user/MS4wLjABAAAA7r0fTILztaXRRMaVkR2WH-1Wl0FaQo3Zik5iOH-I468,,,7254263026702091040,7254263026702091040,
7313147458259206931,一千多万了[看] 第一次刷到他   这条视频可以变现多少呀[看],,18,2023-12-16 19:07:14,如月,https://www.douyin.com/user/MS4wLjABAAAAPq9Psfw2sFAMznO0w9WRcMx9ECOHeutL7Foz8s3fe1c,bd283849581916,,7254263026702091040,7254263026702091040,
7310496932744545074,我来的太晚了，现在一千万赞了,,3,2023-12-09 15:41:52,wwsab,https://www.douyin.com/user/MS4wLjABAAAAjxCFzWVCs6jfQuFauqxnn2g8QXrZbxxtiwEtcdFI3oWFa1kqItq9GdZfGqdsjvL-,74819293459,,7254263026702091040,7254263026702091040,
7306538244405117706,现在是1023.2W赞了，苦心人天不负！[赞][赞][赞],,26,2023-11-28 23:40:10,晴空一鹤,https://www.douyin.com/user/MS4wLjABAAAAmLcaJ_zPdP4mTt2vw8_c31eMXLI-YYMKAoBtdrTZvdw,qingkongyihe1926,,7254263026702091040,7254263026702091040,
7295396796795896616,"记录一下，今天是2023年10月29号现在有10,200,000赞了",,9,2023-10-29 23:05:37,泸溪芳芳精品女装,https://www.douyin.com/user/MS4wLjABAAAAL3seZdPp7GmOkozG4bxwD3kicstxn7OlOpPDMswsSXQ,994987177Fang,,7254263026702091040,7254263026702091040,
7285634012039054115,我现在才刷到[发怒]  但是已经1000多万点赞了[比心],,100,2023-10-03 15:41:16,双林⛰️,https://www.douyin.com/user/MS4wLjABAAAAT7yDE-RH5UwA1pNRXTNq0_jvTdKk6XiO_LLHD7dxWtey76ibKvxKVgGD_dty-xuf,71494051267,,7254263026702091040,7254263026702091040,
7285445298842157863,因为你一句话，1000万看过的人都回来补赞了。,,86,2023-10-03 03:30:06,野蛮人,https://www.douyin.com/user/MS4wLjABAAAAinqviKs-KnV6QKWsNiFGUeQAisFe_LFQAIass3oo1H5ZLheMk6b8J5V6BGG772v1,dysq1s9ekjk1,,7254263026702091040,7254263026702091040,
7285170300101886731,两个月后的今天，一千多万点赞[赞],,10,2023-10-02 09:41:47,ℒ往Ꭽℯ⃝后ℒ余Ꭽ生࿐：,https://www.douyin.com/user/MS4wLjABAAAA0s2eoL9wNpvk-Nt9A2MqOt9swZLJ3NffpxYGwA8D5q-vW9PkeanGpMrHUyloJ6ul,59950427710,,7254263026702091040,7254263026702091040,
7277205078817309494,9月10号，晚上22点32分点赞973.3，破千了告诉下,,28,2023-09-10 22:32:36,我想回家…..,https://www.douyin.com/user/MS4wLjABAAAAQLhu0Vq9wHUOh243MVsq3KWyp_z-yskBez3NhHlGZeW_Rfhaog5ggNW8Pc51-lxq,35926479365,,7254263026702091040,7254263026702091040,
7274622998886581029,我刷到这个视频已经962.5万赞赞了[捂脸],,11,2023-09-03 23:32:49,兰哥,https://www.douyin.com/user/MS4wLjABAAAA3S5l9hhsW9s-pB05xFjB3pBrUdKpj8QH2LS3WLKSjjg,,,7254263026702091040,7254263026702091040,
7274547891267011384,961.3w了,,7,2023-09-03 18:41:19,Gien阿四,https://www.douyin.com/user/MS4wLjABAAAA3ewPvwFxMP_di81uW2_Uqo3NTba0oBNunX20fUtbgVw,Mr41990,,7254263026702091040,7254263026702091040,
7270806688377307916,都去赞南翔不吃饭的视频去了[看],,5,2023-08-24 16:43:33,꧁༺天赐淡雅香༻꧂,https://www.douyin.com/user/MS4wLjABAAAAIOQZK4PrY_XsQKsX8l5yNvEfF9ohH7COlQk8L4aBSWA,,,7254263026702091040,7254263026702091040,
7270276120607458105,你现在再看看，已经有900多万赞了，这是我看到赞最多的作品[微笑],,10,2023-08-23 06:24:56,😁黄代芹,https://www.douyin.com/user/MS4wLjABAAAAzgjnB4ysyEkLsj2rWnPd4gd8LztJE7rmNqvOlvJ_AsjzzM9Fe00Yz-0nvjwwdZQ3,huangdaiqin2,,7254263026702091040,7254263026702091040,
7269627950479754003,现在时间2023.08.21日中午12:29分钟，有930.8万赞[大金牙],,11,2023-08-21 12:29:33,彭于晏没我帅,https://www.douyin.com/user/MS4wLjABAAAAA4_hgv0uhE34LaZzSkw-FC0-cW5hc4554EVlrzSqvto,,,7254263026702091040,7254263026702091040,
